ID,Type,Date,Time,Source,Latitude,Longitude,AutoAcknowledged,InDC
6D334904,Gunshot_or_Firecracker,7/1/2020,0:00:07,WashingtonDC6D,38.912,-76.937,FALSE,TRUE
5D158943,Gunshot_or_Firecracker,7/1/2020,0:04:31,WashingtonDC5D,38.927,-76.969,TRUE,TRUE
7D441058,Multiple_Gunshots,7/1/2020,0:12:52,WashingtonDC7D,38.841,-76.97,TRUE,FALSE
7D441060,Gunshot_or_Firecracker,7/1/2020,0:13:09,WashingtonDC7D,38.856,-76.973,FALSE,TRUE
4D125641,Multiple_Gunshots,7/1/2020,0:23:41,WashingtonDC4D,38.965,-77.024,TRUE,TRUE
5D158973,Single_Gunshot,7/1/2020,0:34:23,WashingtonDC5D,38.906,-76.977,FALSE,TRUE
7D441118,Single_Gunshot,7/1/2020,0:45:26,WashingtonDC7D,38.856,-76.974,FALSE,TRUE
7D441119,Multiple_Gunshots,7/1/2020,0:45:33,WashingtonDC7D,38.856,-76.974,FALSE,TRUE
4D125667,Single_Gunshot,7/1/2020,1:04:45,WashingtonDC4D,38.951,-77.027,FALSE,TRUE
7D441188,Multiple_Gunshots,7/1/2020,1:16:47,WashingtonDC7D,38.838,-76.988,FALSE,TRUE
1D169888,Multiple_Gunshots,7/1/2020,1:18:52,WashingtonDC1D,38.88,-76.99,FALSE,TRUE
6D335024,Multiple_Gunshots,7/1/2020,1:20:24,WashingtonDC6D,38.898,-76.945,FALSE,TRUE
6D335025,Multiple_Gunshots,7/1/2020,1:21:17,WashingtonDC6D,38.898,-76.946,FALSE,TRUE
6D335026,Multiple_Gunshots,7/1/2020,1:21:21,WashingtonDC6D,38.898,-76.946,FALSE,TRUE
7D441191,Multiple_Gunshots,7/1/2020,1:21:34,WashingtonDC7D,38.87,-76.978,TRUE,TRUE
1D169896,Single_Gunshot,7/1/2020,1:25:01,WashingtonDC1D,38.878,-76.988,FALSE,TRUE
1D169898,Gunshot_or_Firecracker,7/1/2020,1:32:49,WashingtonDC1D,38.906,-76.977,TRUE,TRUE
7D441245,Multiple_Gunshots,7/1/2020,1:58:54,WashingtonDC7D,38.834,-77.007,FALSE,TRUE
7D441257,Single_Gunshot,7/1/2020,2:23:31,WashingtonDC7D,38.866,-76.981,FALSE,TRUE
7D441263,Single_Gunshot,7/1/2020,2:33:29,WashingtonDC7D,38.84,-76.987,FALSE,TRUE
3D120857,Multiple_Gunshots,7/1/2020,2:46:51,WashingtonDC3D,38.927,-77.03,FALSE,TRUE
1D169939,Multiple_Gunshots,7/1/2020,3:15:34,WashingtonDC1D,38.906,-76.977,TRUE,TRUE
1D169943,Multiple_Gunshots,7/1/2020,3:48:09,WashingtonDC1D,38.895,-76.971,TRUE,TRUE
7D441277,Single_Gunshot,7/1/2020,5:22:20,WashingtonDC7D,38.857,-76.974,FALSE,TRUE
